"","State","variable","value"
"1",0,"birth",0
"2",7.07070707070707,"birth",0.624156115456144
"3",14.1414141414141,"birth",2.48730964467005
"4",21.2121212121212,"birth",5.56186152099886
"5",28.2828282828283,"birth",9.80294088226468
"6",35.3535353535354,"birth",15.1500160775681
"7",42.4242424242424,"birth",21.5289982425308
"8",49.4949494949495,"birth",28.8547049633457
"9",56.5656565656566,"birth",37.0335380255078
"10",63.6363636363636,"birth",45.9662288930582
"11",70.7070707070707,"birth",55.5505169599129
"12",77.7777777777778,"birth",65.6836461126005
"13",84.8484848484848,"birth",76.2645914396887
"14",91.9191919191919,"birth",87.1959566178793
"15",98.989898989899,"birth",98.3855105720374
"16",106.060606060606,"birth",109.747357104462
"17",113.131313131313,"birth",121.202751797171
"18",120.20202020202,"birth",132.680595896187
"19",127.272727272727,"birth",144.117647058824
"20",134.343434343434,"birth",155.458492257395
"21",141.414141414141,"birth",166.655329569417
"22",148.484848484848,"birth",177.667603966257
"23",155.555555555556,"birth",188.461538461538
"24",162.626262626263,"birth",199.009596928983
"25",169.69696969697,"birth",209.289909236519
"26",176.767676767677,"birth",219.285683598505
"27",183.838383838384,"birth",228.984625594514
"28",190.909090909091,"birth",238.378378378378
"29",197.979797979798,"birth",247.461994331358
"30",205.050505050505,"birth",256.233444841008
"31",212.121212121212,"birth",264.693171996543
"32",219.191919191919,"birth",272.843683728692
"33",226.262626262626,"birth",280.689192213023
"34",233.333333333333,"birth",288.235294117647
"35",240.40404040404,"birth",295.488690426509
"36",247.474747474747,"birth",302.456943030767
"37",254.545454545455,"birth",309.148264984227
"38",261.616161616162,"birth",315.57134120525
"39",268.686868686869,"birth",321.735176427792
"40",275.757575757576,"birth",327.648967318193
"41",282.828282828283,"birth",333.321995850481
"42",289.89898989899,"birth",338.763541246823
"43",296.969696969697,"birth",343.982808022923
"44",304.040404040404,"birth",348.988867917261
"45",311.111111111111,"birth",353.790613718412
"46",318.181818181818,"birth",358.396723229959
"47",325.252525252525,"birth",362.815631823526
"48",332.323232323232,"birth",367.055512224897
"49",339.393939393939,"birth",371.12426035503
"50",346.464646464646,"birth",375.029486206831
"51",353.535353535354,"birth",378.778508880423
"52",360.606060606061,"birth",382.378355025112
"53",367.676767676768,"birth",385.835760046593
"54",374.747474747475,"birth",389.157171534395
"55",381.818181818182,"birth",392.348754448399
"56",388.888888888889,"birth",395.41639767592
"57",395.959595959596,"birth",398.365721633449
"58",403.030303030303,"birth",401.202086640962
"59",410.10101010101,"birth",403.930601842776
"60",417.171717171717,"birth",406.556134488233
"61",424.242424242424,"birth",409.083319418935
"62",431.313131313131,"birth",411.51656863763
"63",438.383838383838,"birth",413.860080857796
"64",445.454545454545,"birth",416.117850953206
"65",452.525252525253,"birth",418.29367924371
"66",459.59595959596,"birth",420.391180567683
"67",466.666666666667,"birth",422.413793103448
