"","x","value","variable","panel"
"1",0,0,"stable potential","Potential Energy"
"2",7.07070707070707,1283.75418725884,"stable potential","Potential Energy"
"3",14.1414141414141,2583.70135511458,"stable potential","Potential Energy"
"4",21.2121212121212,3891.16794368622,"stable potential","Potential Energy"
"5",28.2828282828283,5197.7373824537,"stable potential","Potential Energy"
"6",35.3535353535354,6495.36684356366,"stable potential","Potential Energy"
"7",42.4242424242424,7776.49079118661,"stable potential","Potential Energy"
"8",49.4949494949495,9034.1083005718,"stable potential","Potential Energy"
"9",56.5656565656566,10261.852112879,"stable potential","Potential Energy"
"10",63.6363636363636,11454.0384329562,"stable potential","Potential Energy"
"11",70.7070707070707,12605.6974780177,"stable potential","Potential Energy"
"12",77.7777777777778,13712.5856713897,"stable potential","Potential Energy"
"13",84.8484848484848,14771.1810942406,"stable potential","Potential Energy"
"14",91.9191919191919,15778.6643306159,"stable potential","Potential Energy"
"15",98.989898989899,16732.8871612177,"stable potential","Potential Energy"
"16",106.060606060606,17632.3316923932,"stable potential","Potential Energy"
"17",113.131313131313,18476.0624755743,"stable potential","Potential Energy"
"18",120.20202020202,19263.674013675,"stable potential","Potential Energy"
"19",127.272727272727,19995.2358019374,"stable potential","Potential Energy"
"20",134.343434343434,20671.2367469978,"stable potential","Potential Energy"
"21",141.414141414141,21292.5304805347,"stable potential","Potential Energy"
"22",148.484848484848,21860.2827576391,"stable potential","Potential Energy"
"23",155.555555555556,22375.9218233403,"stable potential","Potential Energy"
"24",162.626262626263,22841.0923555764,"stable potential","Potential Energy"
"25",169.69696969697,23257.6133559985,"stable potential","Potential Energy"
"26",176.767676767677,23627.4401636908,"stable potential","Potential Energy"
"27",183.838383838384,23952.6306103502,"stable potential","Potential Energy"
"28",190.909090909091,24235.3152157233,"stable potential","Potential Energy"
"29",197.979797979798,24477.67123491,"stable potential","Potential Energy"
"30",205.050505050505,24681.9003096779,"stable potential","Potential Energy"
"31",212.121212121212,24850.2094393005,"stable potential","Potential Energy"
"32",219.191919191919,24984.7949679761,"stable potential","Potential Energy"
"33",226.262626262626,25087.829281424,"stable potential","Potential Energy"
"34",233.333333333333,25161.4499111671,"stable potential","Potential Energy"
"35",240.40404040404,25207.7507582496,"stable potential","Potential Energy"
"36",247.474747474747,25228.7751662499,"stable potential","Potential Energy"
"37",254.545454545455,25226.5105944712,"stable potential","Potential Energy"
"38",261.616161616162,25202.8846646328,"stable potential","Potential Energy"
"39",268.686868686869,25159.7623771321,"stable potential","Potential Energy"
"40",275.757575757576,25098.9443151959,"stable potential","Potential Energy"
"41",282.828282828283,25022.1656764464,"stable potential","Potential Energy"
"42",289.89898989899,24931.0959912259,"stable potential","Potential Energy"
"43",296.969696969697,24827.3394052488,"stable potential","Potential Energy"
"44",304.040404040404,24712.4354206999,"stable potential","Potential Energy"
"45",311.111111111111,24587.860004769,"stable potential","Potential Energy"
"46",318.181818181818,24455.0269878445,"stable potential","Potential Energy"
"47",325.252525252525,24315.2896852855,"stable potential","Potential Energy"
"48",332.323232323232,24169.9426869466,"stable potential","Potential Energy"
"49",339.393939393939,24020.2237675782,"stable potential","Potential Energy"
"50",346.464646464646,23867.3158789805,"stable potential","Potential Energy"
"51",353.535353535354,23712.349191485,"stable potential","Potential Energy"
"52",360.606060606061,23556.4031580879,"stable potential","Potential Energy"
"53",367.676767676768,23400.5085794747,"stable potential","Potential Energy"
"54",374.747474747475,23245.6496523661,"stable potential","Potential Energy"
"55",381.818181818182,23092.7659871593,"stable potential","Potential Energy"
"56",388.888888888889,22942.7545838442,"stable potential","Potential Energy"
"57",395.959595959596,22796.4717576858,"stable potential","Potential Energy"
"58",403.030303030303,22654.7350082816,"stable potential","Potential Energy"
"59",410.10101010101,22518.3248273519,"stable potential","Potential Energy"
"60",417.171717171717,22387.9864420825,"stable potential","Potential Energy"
"61",424.242424242424,22264.4314920349,"stable potential","Potential Energy"
"62",431.313131313131,22148.3396386195,"stable potential","Potential Energy"
"63",438.383838383838,22040.3601069261,"stable potential","Potential Energy"
"64",445.454545454545,21941.1131603423,"stable potential","Potential Energy"
"65",452.525252525253,21851.1915089036,"stable potential","Potential Energy"
"66",459.59595959596,21771.1616527151,"stable potential","Potential Energy"
"67",466.666666666667,21701.5651620924,"stable potential","Potential Energy"
"68",473.737373737374,21642.9198963016,"stable potential","Potential Energy"
"69",480.808080808081,21595.7211629429,"stable potential","Potential Energy"
"70",487.878787878788,21560.4428201406,"stable potential","Potential Energy"
"71",494.949494949495,21537.5383237704,"stable potential","Potential Energy"
"72",502.020202020202,21527.441721996,"stable potential","Potential Energy"
"73",509.090909090909,21530.5685993925,"stable potential","Potential Energy"
"74",516.161616161616,21547.3169729231,"stable potential","Potential Energy"
"75",523.232323232323,21578.0681420008,"stable potential","Potential Energy"
"76",530.30303030303,21623.1874948239,"stable potential","Potential Energy"
"77",537.373737373737,21683.0252731151,"stable potential","Potential Energy"
"78",544.444444444444,21757.9172973311,"stable potential","Potential Energy"
"79",551.515151515152,21848.1856543373,"stable potential","Potential Energy"
"80",558.585858585859,21954.1393494695,"stable potential","Potential Energy"
"81",565.656565656566,22076.0749248257,"stable potential","Potential Energy"
"82",572.727272727273,22214.2770455552,"stable potential","Potential Energy"
"83",579.79797979798,22369.0190558307,"stable potential","Potential Energy"
"84",586.868686868687,22540.5635061142,"stable potential","Potential Energy"
"85",593.939393939394,22729.1626532485,"stable potential","Potential Energy"
"86",601.010101010101,22935.0589348323,"stable potential","Potential Energy"
"87",608.080808080808,23158.4854192628,"stable potential","Potential Energy"
"88",615.151515151515,23399.6662327597,"stable potential","Potential Energy"
"89",622.222222222222,23658.8169646159,"stable potential","Potential Energy"
"90",629.292929292929,23936.1450518534,"stable potential","Potential Energy"
"91",636.363636363636,24231.850144403,"stable potential","Potential Energy"
"92",643.434343434343,24546.1244518612,"stable potential","Potential Energy"
"93",650.505050505051,24879.1530728255,"stable potential","Potential Energy"
"94",657.575757575758,25231.1143077508,"stable potential","Potential Energy"
"95",664.646464646465,25602.1799562184,"stable potential","Potential Energy"
"96",671.717171717172,25992.5155994613,"stable potential","Potential Energy"
"97",678.787878787879,26402.2808689395,"stable potential","Potential Energy"
"98",685.858585858586,26831.6297017178,"stable potential","Potential Energy"
"99",692.929292929293,27280.7105833535,"stable potential","Potential Energy"
"100",700,27749.6667789641,"stable potential","Potential Energy"
"101",516,19000,"stable potential","Time of Sample Trajectory"
"102",515,19020.4081632653,"stable potential","Time of Sample Trajectory"
"103",501,19040.8163265306,"stable potential","Time of Sample Trajectory"
"104",504,19061.2244897959,"stable potential","Time of Sample Trajectory"
"105",490,19081.6326530612,"stable potential","Time of Sample Trajectory"
"106",506,19102.0408163265,"stable potential","Time of Sample Trajectory"
"107",506,19122.4489795918,"stable potential","Time of Sample Trajectory"
"108",513,19142.8571428571,"stable potential","Time of Sample Trajectory"
"109",504,19163.2653061224,"stable potential","Time of Sample Trajectory"
"110",493,19183.6734693878,"stable potential","Time of Sample Trajectory"
"111",492,19204.0816326531,"stable potential","Time of Sample Trajectory"
"112",494,19224.4897959184,"stable potential","Time of Sample Trajectory"
"113",482,19244.8979591837,"stable potential","Time of Sample Trajectory"
"114",467,19265.306122449,"stable potential","Time of Sample Trajectory"
"115",460,19285.7142857143,"stable potential","Time of Sample Trajectory"
"116",471,19306.1224489796,"stable potential","Time of Sample Trajectory"
"117",462,19326.5306122449,"stable potential","Time of Sample Trajectory"
"118",470,19346.9387755102,"stable potential","Time of Sample Trajectory"
"119",466,19367.3469387755,"stable potential","Time of Sample Trajectory"
"120",456,19387.7551020408,"stable potential","Time of Sample Trajectory"
"121",457,19408.1632653061,"stable potential","Time of Sample Trajectory"
"122",467,19428.5714285714,"stable potential","Time of Sample Trajectory"
"123",461,19448.9795918367,"stable potential","Time of Sample Trajectory"
"124",465,19469.387755102,"stable potential","Time of Sample Trajectory"
"125",458,19489.7959183673,"stable potential","Time of Sample Trajectory"
"126",457,19510.2040816327,"stable potential","Time of Sample Trajectory"
"127",469,19530.612244898,"stable potential","Time of Sample Trajectory"
"128",456,19551.0204081633,"stable potential","Time of Sample Trajectory"
"129",446,19571.4285714286,"stable potential","Time of Sample Trajectory"
"130",462,19591.8367346939,"stable potential","Time of Sample Trajectory"
"131",468,19612.2448979592,"stable potential","Time of Sample Trajectory"
"132",474,19632.6530612245,"stable potential","Time of Sample Trajectory"
"133",490,19653.0612244898,"stable potential","Time of Sample Trajectory"
"134",485,19673.4693877551,"stable potential","Time of Sample Trajectory"
"135",490,19693.8775510204,"stable potential","Time of Sample Trajectory"
"136",502,19714.2857142857,"stable potential","Time of Sample Trajectory"
"137",504,19734.693877551,"stable potential","Time of Sample Trajectory"
"138",501,19755.1020408163,"stable potential","Time of Sample Trajectory"
"139",499,19775.5102040816,"stable potential","Time of Sample Trajectory"
"140",515,19795.9183673469,"stable potential","Time of Sample Trajectory"
"141",520,19816.3265306122,"stable potential","Time of Sample Trajectory"
"142",510,19836.7346938776,"stable potential","Time of Sample Trajectory"
"143",515,19857.1428571429,"stable potential","Time of Sample Trajectory"
"144",528,19877.5510204082,"stable potential","Time of Sample Trajectory"
"145",532,19897.9591836735,"stable potential","Time of Sample Trajectory"
"146",533,19918.3673469388,"stable potential","Time of Sample Trajectory"
"147",527,19938.7755102041,"stable potential","Time of Sample Trajectory"
"148",529,19959.1836734694,"stable potential","Time of Sample Trajectory"
"149",534,19979.5918367347,"stable potential","Time of Sample Trajectory"
"150",546,20000,"stable potential","Time of Sample Trajectory"
