"","x","variable","value","panel"
"1",0,"stable.potential",0,"Potential Energy"
"2",7.07070707070707,"stable.potential",1283.75418725884,"Potential Energy"
"3",14.1414141414141,"stable.potential",2583.70135511458,"Potential Energy"
"4",21.2121212121212,"stable.potential",3891.16794368622,"Potential Energy"
"5",28.2828282828283,"stable.potential",5197.7373824537,"Potential Energy"
"6",35.3535353535354,"stable.potential",6495.36684356366,"Potential Energy"
"7",42.4242424242424,"stable.potential",7776.49079118661,"Potential Energy"
"8",49.4949494949495,"stable.potential",9034.1083005718,"Potential Energy"
"9",56.5656565656566,"stable.potential",10261.852112879,"Potential Energy"
"10",63.6363636363636,"stable.potential",11454.0384329562,"Potential Energy"
"11",70.7070707070707,"stable.potential",12605.6974780177,"Potential Energy"
"12",77.7777777777778,"stable.potential",13712.5856713897,"Potential Energy"
"13",84.8484848484848,"stable.potential",14771.1810942406,"Potential Energy"
"14",91.9191919191919,"stable.potential",15778.6643306159,"Potential Energy"
"15",98.989898989899,"stable.potential",16732.8871612177,"Potential Energy"
"16",106.060606060606,"stable.potential",17632.3316923932,"Potential Energy"
"17",113.131313131313,"stable.potential",18476.0624755743,"Potential Energy"
"18",120.20202020202,"stable.potential",19263.674013675,"Potential Energy"
"19",127.272727272727,"stable.potential",19995.2358019374,"Potential Energy"
"20",134.343434343434,"stable.potential",20671.2367469978,"Potential Energy"
"21",141.414141414141,"stable.potential",21292.5304805347,"Potential Energy"
"22",148.484848484848,"stable.potential",21860.2827576391,"Potential Energy"
"23",155.555555555556,"stable.potential",22375.9218233403,"Potential Energy"
"24",162.626262626263,"stable.potential",22841.0923555764,"Potential Energy"
"25",169.69696969697,"stable.potential",23257.6133559985,"Potential Energy"
"26",176.767676767677,"stable.potential",23627.4401636908,"Potential Energy"
"27",183.838383838384,"stable.potential",23952.6306103502,"Potential Energy"
"28",190.909090909091,"stable.potential",24235.3152157233,"Potential Energy"
"29",197.979797979798,"stable.potential",24477.67123491,"Potential Energy"
"30",205.050505050505,"stable.potential",24681.9003096779,"Potential Energy"
"31",212.121212121212,"stable.potential",24850.2094393005,"Potential Energy"
"32",219.191919191919,"stable.potential",24984.7949679761,"Potential Energy"
"33",226.262626262626,"stable.potential",25087.829281424,"Potential Energy"
"34",233.333333333333,"stable.potential",25161.4499111671,"Potential Energy"
"35",240.40404040404,"stable.potential",25207.7507582496,"Potential Energy"
"36",247.474747474747,"stable.potential",25228.7751662499,"Potential Energy"
"37",254.545454545455,"stable.potential",25226.5105944712,"Potential Energy"
"38",261.616161616162,"stable.potential",25202.8846646328,"Potential Energy"
"39",268.686868686869,"stable.potential",25159.7623771321,"Potential Energy"
"40",275.757575757576,"stable.potential",25098.9443151959,"Potential Energy"
"41",282.828282828283,"stable.potential",25022.1656764464,"Potential Energy"
"42",289.89898989899,"stable.potential",24931.0959912259,"Potential Energy"
"43",296.969696969697,"stable.potential",24827.3394052488,"Potential Energy"
"44",304.040404040404,"stable.potential",24712.4354206999,"Potential Energy"
"45",311.111111111111,"stable.potential",24587.860004769,"Potential Energy"
"46",318.181818181818,"stable.potential",24455.0269878445,"Potential Energy"
"47",325.252525252525,"stable.potential",24315.2896852855,"Potential Energy"
"48",332.323232323232,"stable.potential",24169.9426869466,"Potential Energy"
"49",339.393939393939,"stable.potential",24020.2237675782,"Potential Energy"
"50",346.464646464646,"stable.potential",23867.3158789805,"Potential Energy"
"51",353.535353535354,"stable.potential",23712.349191485,"Potential Energy"
"52",360.606060606061,"stable.potential",23556.4031580879,"Potential Energy"
"53",367.676767676768,"stable.potential",23400.5085794747,"Potential Energy"
"54",374.747474747475,"stable.potential",23245.6496523661,"Potential Energy"
"55",381.818181818182,"stable.potential",23092.7659871593,"Potential Energy"
"56",388.888888888889,"stable.potential",22942.7545838442,"Potential Energy"
"57",395.959595959596,"stable.potential",22796.4717576858,"Potential Energy"
"58",403.030303030303,"stable.potential",22654.7350082816,"Potential Energy"
"59",410.10101010101,"stable.potential",22518.3248273519,"Potential Energy"
"60",417.171717171717,"stable.potential",22387.9864420825,"Potential Energy"
"61",424.242424242424,"stable.potential",22264.4314920349,"Potential Energy"
"62",431.313131313131,"stable.potential",22148.3396386195,"Potential Energy"
"63",438.383838383838,"stable.potential",22040.3601069261,"Potential Energy"
"64",445.454545454545,"stable.potential",21941.1131603423,"Potential Energy"
"65",452.525252525253,"stable.potential",21851.1915089036,"Potential Energy"
"66",459.59595959596,"stable.potential",21771.1616527151,"Potential Energy"
"67",466.666666666667,"stable.potential",21701.5651620924,"Potential Energy"
"68",473.737373737374,"stable.potential",21642.9198963016,"Potential Energy"
"69",480.808080808081,"stable.potential",21595.7211629429,"Potential Energy"
"70",487.878787878788,"stable.potential",21560.4428201406,"Potential Energy"
"71",494.949494949495,"stable.potential",21537.5383237704,"Potential Energy"
"72",502.020202020202,"stable.potential",21527.441721996,"Potential Energy"
"73",509.090909090909,"stable.potential",21530.5685993925,"Potential Energy"
"74",516.161616161616,"stable.potential",21547.3169729231,"Potential Energy"
"75",523.232323232323,"stable.potential",21578.0681420008,"Potential Energy"
"76",530.30303030303,"stable.potential",21623.1874948239,"Potential Energy"
"77",537.373737373737,"stable.potential",21683.0252731151,"Potential Energy"
"78",544.444444444444,"stable.potential",21757.9172973311,"Potential Energy"
"79",551.515151515152,"stable.potential",21848.1856543373,"Potential Energy"
"80",558.585858585859,"stable.potential",21954.1393494695,"Potential Energy"
"81",565.656565656566,"stable.potential",22076.0749248257,"Potential Energy"
"82",572.727272727273,"stable.potential",22214.2770455552,"Potential Energy"
"83",579.79797979798,"stable.potential",22369.0190558307,"Potential Energy"
"84",586.868686868687,"stable.potential",22540.5635061142,"Potential Energy"
"85",593.939393939394,"stable.potential",22729.1626532485,"Potential Energy"
"86",601.010101010101,"stable.potential",22935.0589348323,"Potential Energy"
"87",608.080808080808,"stable.potential",23158.4854192628,"Potential Energy"
"88",615.151515151515,"stable.potential",23399.6662327597,"Potential Energy"
"89",622.222222222222,"stable.potential",23658.8169646159,"Potential Energy"
"90",629.292929292929,"stable.potential",23936.1450518534,"Potential Energy"
"91",636.363636363636,"stable.potential",24231.850144403,"Potential Energy"
"92",643.434343434343,"stable.potential",24546.1244518612,"Potential Energy"
"93",650.505050505051,"stable.potential",24879.1530728255,"Potential Energy"
"94",657.575757575758,"stable.potential",25231.1143077508,"Potential Energy"
"95",664.646464646465,"stable.potential",25602.1799562184,"Potential Energy"
"96",671.717171717172,"stable.potential",25992.5155994613,"Potential Energy"
"97",678.787878787879,"stable.potential",26402.2808689395,"Potential Energy"
"98",685.858585858586,"stable.potential",26831.6297017178,"Potential Energy"
"99",692.929292929293,"stable.potential",27280.7105833535,"Potential Energy"
"100",700,"stable.potential",27749.6667789641,"Potential Energy"
"101",0,"deteriorating",0,"Potential Energy"
"102",7.07070707070707,"deteriorating",1354.46125796591,"Potential Energy"
"103",14.1414141414141,"deteriorating",2725.11549652872,"Potential Energy"
"104",21.2121212121212,"deteriorating",4103.28915580743,"Potential Energy"
"105",28.2828282828283,"deteriorating",5480.56566528199,"Potential Energy"
"106",35.3535353535354,"deteriorating",6848.90219709902,"Potential Energy"
"107",42.4242424242424,"deteriorating",8200.73321542903,"Potential Energy"
"108",49.4949494949495,"deteriorating",9529.05779552129,"Potential Energy"
"109",56.5656565656566,"deteriorating",10827.5086785355,"Potential Energy"
"110",63.6363636363636,"deteriorating",12090.4020693198,"Potential Energy"
"111",70.7070707070707,"deteriorating",13312.7681850884,"Potential Energy"
"112",77.7777777777778,"deteriorating",14490.3634491675,"Potential Energy"
"113",84.8484848484848,"deteriorating",15619.6659427255,"Potential Energy"
